카드명,카드사,연회비_국내,연회비_해외,전월실적_기준,주요혜택
삼성 iD SELECT ALL 카드,삼성카드,20000,20000,400000,선택 옵션에 따른: 할인 혜택(택 1) | 생활 편의 영역: 5%할인 | 디지털콘텐츠/멤버십: 50%할인
신한카드 Mr.Life,신한카드,0,15000,300000,"공과금: 10%할인 | 마트,편의점: 10%할인 | 식음료: 10%할인"
삼성카드 & MILEAGE PLATINUM (스카이패스),삼성카드,47000,49000,0,"1,000원당: 1마일기본적립 | 국내/해외 택1 옵션형: 1마일특별적립 | 인천공항: 라운지무료이용"
카드의정석 SHOPPING+,우리카드,10000,12000,300000,온라인 쇼핑: 10%청구할인 | 백화점・대형할인점・슈퍼마켓 등: 10%청구할인
THE 1 (스카이패스),삼성카드,245000,250000,300000,기프트 옵션: 15만원 상당서비스 (택1) | 1천원당 최대: 2 마일리지적립 | 인천공항 주차요금: 1만원할인
KB국민 My WE:SH 카드,KB국민카드,15000,15000,400000,KB Pay: 10%할인 | 음식점: 10%할인 | 서비스팩 3개 중: 1개선택할인
삼성카드 taptap O,삼성카드,10000,10000,300000,"스타벅스: 50%할인 | 대중교통: 10%할인 | CGV, 롯데시네마: 5,000원할인"
LOCA 365 카드,롯데카드,20000,20000,500000,"아파트관리비, 공과금: 10%할인 | 교통, 통신, 배달앱: 10%할인 | 스트리밍: 1,500원할인"
ONE 체크카드,케이뱅크,0,0,0,"온·오프라인: 0.6~1.1%캐시백 | 자주 쓰는 곳에서: 5%캐시백 | 3번 결제할 때마다: 1,000원무제한 캐시백"
KB Youth Club 체크카드,KB국민카드,0,0,150000,"[A팩] 6개 영역(OTT, APP 등): 최대 50%할인 | [B팩] 6개 영역(멤버십, 통신 등): 최대 50%할인 | Mastercard: 플래티늄 기본서비스제공"
현대카드 M,현대카드,30000,30000,500000,국내외 가맹점: 1.5%적립 | 온라인 쇼핑몰・일반음식점: 5%적립 | 해외 가맹점: 5%적립
American Express® Gold Card Edition2,현대카드,0,300000,500000,바우처: 연간 25만원상당 | 전 세계 공항라운지: 연 10회무료 이용 | 멤버십리워즈(MR): 최대 3MR적립
굿데이카드,KB국민카드,5000,10000,300000,주유: 60원/L할인 | 통신요금: 10%할인 | 커피: 10%할인
taptap DIGITAL,삼성카드,10000,10000,300000,온라인간편결제: 5%할인 | 스트리밍: 50%할인 | 편의점: 10%할인
삼성 iD SELECT ON 카드,삼성카드,20000,20000,300000,음식점 또는 온라인몰: 금/토/일 10%할인 | 생활 편의 영역: 5%할인 | 인앱 결제/디지털콘텐츠: 50%할인
카드의정석 EVERY DISCOUNT,우리카드,12000,12000,0,국내외 가맹점: 0.8%청구할인 | 국내 온라인 간편결제: 2%청구할인
노리2 체크카드(KB Pay),KB국민카드,0,0,200000,"커피, 모바일, 문화: 10%할인 | 뷰티, 편의점: 5%할인 | KB Pay: 2%추가 할인"
신한카드 SOL트래블 체크,신한카드,0,0,0,해외 이용: 수수료 면제 | 더라운지: 무료입장 | 해외 대중교통: 1%할인
신한카드 처음(ANNIVERSE),신한카드,15000,18000,300000,음식·생활·패션: 5%적립 | 통신·구독·멤버십: 최대 20%적립 | 소비관리 보너스: 매월 최대 1만P
가온올림카드(실속형),KB국민카드,15000,15000,0,국내가맹점: 0.7%적립 | 주말/공휴일: 0.5%추가적립 | 음식·교통: 0.5%추가적립
